floating_date;latitude;longitude;magnitude;depth
0.005265708;426.8949224;210.543448;2.6758;0
0.006632717;292.7507098;463.9019562;2.6285;0
0.008534428;347.5762227;480.1859884;3.8685;0
0.008566188;351.7879467;476.5731455;2.9476;0
0.008711567;348.9554233;480.3682254;2.6755;0
0.010659548;283.2249345;370.6871076;3.0156;0
0.011633128;443.6421627;318.3675033;2.567;0
0.015094593;307.6300446;504.7211659;3.4983;0
0.015302396;522.3678692;63.8223489;4.7298;0
0.015341821;548.0660597;42.4157316;2.5423;0
0.015369747;504.7183691;62.4272754;2.5398;0
0.015509377;530.271782;74.9893269;2.5671;0
0.015554552;301.9961484;281.1221339;3.3524;0
0.015595893;523.9564139;64.2738946;2.7486;0
0.015601916;561.9758448;135.9861835;2.5136;0
0.015849966;14.1305801;188.8718026;3.2129;0
0.015850513;514.6471122;39.2749592;2.7727;0
0.016005202;521.0533038;60.4483727;3.9736;0
0.016033402;529.2425559;60.9408333;2.7191;0
0.016110335;528.7038396;62.4414417;2.5135;0
0.016180972;537.5614936;54.5959354;3.209;0
0.016319507;522.2668198;63.659948;2.8011;0
0.016701164;512.3447945;69.0037785;2.8414;0
0.017368925;522.1780993;63.6303873;2.7566;0
0.018267214;54.593506;521.4816393;2.8437;0
0.019026968;47.6972511;565.3876362;4.5168;0
0.019150445;114.5767648;456.4818501;2.5007;0
0.01918987;46.443808;565.7851774;2.5564;0
0.019273648;36.0402246;554.5730039;2.8608;0
0.019511841;44.4491801;563.1059947;2.9393;0
0.01981629;186.0023173;581.369675;2.7062;0
0.019914305;9.6589475;449.9969783;2.9675;0
0.02007091;187.2887089;579.4860293;2.5521;0
0.020668036;47.6150061;560.9614634;2.5972;0
0.020926489;43.9723685;573.5693992;2.7605;0
0.022114442;521.131485;59.1878346;2.7578;0
0.023282957;52.2639625;563.2899684;3.0425;0
0.02435729;49.8082074;564.8747523;2.5159;0
0.025778234;413.5043656;293.1699965;3.1742;0
0.025887474;415.2364806;295.439222;2.5799;0
0.028269952;504.9765259;70.2798356;2.8888;0
0.029321287;539.8081328;114.3505682;3.2927;0
0.030837235;31.7872667;480.3137683;2.5981;0
0.031232854;44.3151649;562.9962897;3.2755;0
0.032164545;541.5264999;120.7945927;2.6405;0
0.034251882;375.3132641;270.2125588;2.5384;0
0.039456537;74.8474736;4.4825817;2.5117;0
0.039461465;169.2232215;378.6851046;2.758;0
0.04099384;48.0666233;566.1369633;3.2015;0
0.046281999;293.0283869;396.0326429;3.6819;0
0.047247365;522.7060076;66.4403974;2.5318;0
0.048415332;178.9761752;373.1100175;2.6224;0
0.051531006;287.4588398;507.4201149;2.9225;0
0.062447091;264.4857308;517.3683239;2.8224;0
0.063224093;264.3608772;513.6265109;2.7244;0
0.06449692;320.5347135;234.7825617;3.4013;0
0.064643943;319.6961131;237.273644;2.5958;0
0.065599726;494.2517723;387.8137969;3.1948;0
0.065609035;517.9389304;125.7931357;2.512;0
0.066240657;166.2653611;508.0107532;2.6898;0
0.06738371;314.8703494;292.7590783;2.6783;0
0.069728953;337.9565886;524.3023952;2.9154;0
0.06990527;338.5947277;523.6948934;2.7387;0
